id,name,birth,title,url,summary
1,Carlos,01/03/1984,Legislatura,https://pt.wikipedia.org/wiki/Legislatura,A legislatura corresponde ao período do mandato de cada assembleia eleita.
2,Pedro,05/03/1990,Primeira Divisão de 1989–90,https://pt.wikipedia.org/wiki/Primeira_Divis%C3%A3o_de_1989%E2%80%9390,A Primeira Divisão de 1989-90 foi a 56.ª edição do Campeonato Português de Futebol.
3,Maria,10/07/2010,Porto Alegre,https://pt.wikipedia.org/wiki/Porto_Alegre,"Porto Alegre é um município brasileiro e a capital do estado mais meridional do Brasil, o Rio Grande do Sul. Com uma área de quase 500 km² e uma população de 1 492 530 habitantes, possui uma geografia diversificada, com morros, baixadas e um grande lago: o Guaíba. Está a 2 027 km da capital nacional, Brasília.A cidade foi constituída a partir da chegada de casais açorianos em meados do século XVIII. No século XIX contou com o influxo de muitos imigrantes alemães e italianos, recebendo também espanhóis, africanos, poloneses e libaneses. Sede da maior concentração urbana da região Sul e quinta mais populosa do Brasil, desenvolveu-se com rapidez e hoje abriga quase 1,5 milhão de habitantes dentro dos limites municipais e cerca de 4 311 019 habitantes na região metropolitana. Com 47% das construções verticalizadas, era a capital mais edificada do país em 2018. A cidade enfrenta muitos desafios, entre eles o fato de parte da população viver em condições de sub-habitação, alto custo de vida, alta incidência de obesidade e tabagismo, deficiências sérias no quesito poluição, degradação de ecossistemas originais, índices de crime elevados e crescentes problemas de trânsito.Por outro lado, ostenta mais de 80 prêmios e títulos que a distinguem como uma das melhores capitais brasileiras para morar, trabalhar, fazer negócios, estudar e se divertir. Foi destacada em 2010 também pela ONU como a Metrópole nº 1 em qualidade de vida do Brasil por três vezes; como possuindo um dos 40 melhores modelos de gestão pública democrática pelo seu Orçamento Participativo e por ter o melhor Índice de Desenvolvimento Humano (IDH) entre as metrópoles nacionais. Dados do IBGE a apontaram em 2009 como a capital brasileira com a menor taxa de desemprego, a empresa de consultoria britânica Jones Lang LaSalle a incluiu em 2004 entre as 24 cidades com maior potencial para atrair investimentos no mundo e figura na lista da Pricewaterhouse Coopers entre as cem cidades mais ricas do mundo. Porto Alegre recebeu a classificação de cidade autossuficiente, por parte do Globalization and World Cities Study Group & Network (GaWC).Além disso, Porto Alegre é uma das cidades mais arborizadas e alfabetizadas do país, é um polo regional de atração de migrantes em busca de melhores condições de vida, trabalho e estudo e tem uma infraestrutura em vários aspectos superior à das demais capitais do Brasil. Foi manchete internacional quando sediou as primeiras edições do Fórum Social Mundial e foi escolhida como uma das sedes da Copa do Mundo de 2014. Também tem uma cultura qualificada e diversificada, com intensa atividade em praticamente todas as áreas das artes, esportes e das ciências, muitas vezes com projeção nacional, além de possuir ricas tradições folclóricas e um significativo patrimônio histórico em edificações centenárias e numerosos museus."
4,Manoela,12/12/2020,Crescenzio Sepe,https://pt.wikipedia.org/wiki/Crescenzio_Sepe,"Crescenzio Sepe (Carinaro, 2 de junho de 1943) é um cardeal da Igreja Católica italiano, atual arcebispo-emérito de Nápoles."
5,Gilberto,08/12/1986,Taça Brasil de Basquete Masculino de 1986,https://pt.wikipedia.org/wiki/Ta%C3%A7a_Brasil_de_Basquete_Masculino_de_1986,"A 22ª Edição da Taça Brasil foi disputada por 16 equipes em novembro de 1986.
O quadrangular final foi realizado no Ginásio do Ibirapuera, na cidade de São Paulo e o campeão foi o Monte Líbano. Dirigido pelo técnico Edvar Simões o clube conquista o tetracampeonato nacional de basquete."
6,Bianca,10/10/1995,Lista de raças de cães,https://pt.wikipedia.org/wiki/Lista_de_ra%C3%A7as_de_c%C3%A3es,"Esta é uma lista apenas de raças de cães reconhecidas pela Federação Cinológica Internacional (FCI) sediada na Bélgica, ou, por suas filiais no Brasil (Confederação Brasileira de Cinofilia) ou em Portugal (Clube Português de Canicultura). 
O número total de raças existentes hoje, é discutido. Os mais diversos kennel clubes reconhecem diferentes quantidades de raças caninas, de acordo com o número de raças que tiveram criadores interessados em obter reconhecimento no determinado clube e as que foram aprovadas após seus esforços. A FCI por exemplo, que é um dos maiores kennel clubes internacionais, mas não o único, até 2018 reconhecia ao todo 344 raças de cães. Contudo, é especulado que existam mais de 400 raças de cães espalhadas por todo o mundo.Cada raça reconhecida por algum kennel clube (nacional ou internacional) possui um padrão morfológico oficial escrito (Padrão de raça), seguido rigorosamente pelos criadores, e, uma vez que uma raça é considerada uma raça pura, não podem haver intercruzamentos com raças distintas. O controle genealógico ocorre através do stud book e da emissão de certificados genealógicos conhecidos como pedigree, dados apenas para filhotes de cães já previamente registrados no stud book do respectivo kennel clube, e assim sucessivamente. 
Termos importantes envolvidos com o tema: 

Cinologia
Canicultura
Raça pura
O cão que não tem raça definida é chamado popularmente de vira-lata (Brasil), SRD (Sem raça definida) ou rafeiro (Portugal).As raças estão dispostas de acordo com seu padrão (Brasil) ou estalão (Portugal) na FCI, em 10 grupos. No Brasil há ainda um 11º grupo, da CBKC, dedicado às raças ainda não reconhecidas oficialmente pela FCI, mas que possuem reconhecimento nacional por algum kennel clube em seus respectivos países de origem. Abaixo, segue lista dos grupos, também um índice facilitador para esta página:

Grupo 1 - Cães de Pastor e Boieiros (excepto Boiadeiros Suíços)
Grupo 2 - Cães de tipo Pinscher e Schnauzer, Molossóides e Cães de Montanha, e Boieiros Suiços
Grupo 3 - Terriers
Grupo 4 - Dachshunds
Grupo 5 - Cães de tipo Spitz e de tipo Primitivo
Grupo 6 - Sabujos Farejadores e Raças Assemelhadas
Grupo 7 - Cães de Parar ou Cães Apontadores
Grupo 8 - Cães Levantadores e Cobradores de Caça e Cães de Água
Grupo 9 - Cães de Companhia
Grupo 10 - Galgos (Lébreis)
Grupo 11 - Raças não reconhecidas pela FCI"
7,Lilica,01/04/2019,Cidades principais do Japão,https://pt.wikipedia.org/wiki/Cidades_principais_do_Jap%C3%A3o,"Uma cidade central (中核市, Chūkakushi?) (também chamada núcleo ou principal) é uma classe ou categoria de cidade japonesa.  É uma divisão administrativa local criada pelo governo nacional.  Às cidades principais são delegadas muitas funções normalmente realizadas por prefeituras, mas não tantos quanto cidades designadas. Para se tornar um candidato para o status cidade principal, uma cidade deve ter uma população maior que 300.000 e uma área maior que 100 quilômetros quadrados, embora exceções especiais possam ser feitas por ordem do gabinete para cidades com populações abaixo de 300.000, mas acima de 200.000.O pedido de designação é elaborado por uma cidade com a aprovação das assembléias da cidade e da prefeitura."
8,Frederico,09/10/1980,Não há nenhum artigo na data de 07/05/1996,N/A,N/A
9,Giuseppe,07/05/1996,Recordes mundiais juniores do halterofilismo,https://pt.wikipedia.org/wiki/Recordes_mundiais_juniores_do_halterofilismo,"Esta página reúne os recordes mundiais do halterofilismo (ou levantamento de peso olímpico) para a classe de idade júnior (levantadores olímpicos entre 17 e 20 anos de idade).Os recordes para halterofilistas juniores são registrados desde 1962. E os recordes dos juniores, assim como os recordes dos seniores, não se desenvolveram continuamente. Por causa de várias alterações das classes de peso, recordes mundiais anteriores já não são reconhecidos. A Federação Internacional de Halterofilismo (FIH) modificou as classes de peso mais recentemente em 2018. Ver também: halterofilismo#Desenvolvimento das classes de peso.
Aqui são listados os recordes dos juniores. Para os recordes absolutos, dos seniores, veja: recordes mundiais do halterofilismo; para dos juvenis, veja: recordes mundiais juvenis do halterofilismo."
10,Bruno,19/02/2022 ,Louis Raphaël I Sako,https://pt.wikipedia.org/wiki/Louis_Rapha%C3%ABl_I_Sako,"Louis Raphaël I Sako (siríaco: ܠܘܝܣ ܪܘܦܐܝܠ ܩܕܡܝܐ ܣܟܘ; latim: Ludovicus Raphael I Sako; nascido em 4 de julho de 1948) foi escolhido como patriarca católico caldeu de Bagdá e chefe da Igreja Católica Caldéia em sua eleição em 1 de fevereiro 2013.
Em 20 de maio de 2018, o papa Francisco anunciou que faria dele cardeal em 29 de junho."
